,"fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race",Eclectic,Rolling Minimum
,"Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3",,
,"7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race",,
,"6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,,
Str 0-1 (End),00:13.277,00:11.598,00:11.278,00:12.036,00:11.422,00:11.334,00:11.325,00:11.309,00:11.545,00:11.140,00:11.330,00:11.234,00:11.152,00:11.218,00:11.327,00:11.353,00:11.145,00:11.301,00:11.484,00:45.728,00:11.192,00:11.245,00:11.272,00:11.362,00:11.140,00:11.301
Turn 1,00:03.720,00:03.629,00:03.608,00:04.215,00:03.432,00:03.581,00:03.530,00:03.489,00:03.663,00:03.652,00:03.515,00:03.468,00:03.624,00:03.626,00:03.351,00:03.360,00:03.385,00:03.399,00:03.459,00:03.892,00:03.681,00:03.430,00:03.379,00:03.502,00:03.351,00:03.399
Str 1-2,00:10.733,00:10.764,00:10.578,00:10.966,00:10.457,00:10.490,00:10.506,00:10.472,00:10.435,00:10.265,00:10.375,00:10.442,00:10.436,00:10.530,00:10.484,00:10.477,00:10.539,00:10.338,00:10.420,00:10.342,00:10.328,00:10.391,00:10.346,00:10.404,00:10.265,00:10.338
Turn 2,00:00.626,00:00.597,00:00.597,00:00.691,00:00.581,00:00.604,00:00.574,00:00.598,00:00.585,00:00.587,00:00.580,00:00.595,00:00.584,00:00.588,00:00.564,00:00.567,00:00.573,00:00.580,00:00.552,00:00.551,00:00.567,00:00.573,00:00.563,00:00.581,00:00.551,00:00.580
Str 2-3,00:04.415,00:04.091,00:04.148,00:04.447,00:04.064,00:04.081,00:04.084,00:04.130,00:04.145,00:04.127,00:04.052,00:04.090,00:04.049,00:04.198,00:04.061,00:04.067,00:04.037,00:04.057,00:03.995,00:04.177,00:04.053,00:04.063,00:04.022,00:04.132,00:03.995,00:04.057
Turn 3,00:05.975,00:11.197,00:05.804,00:06.023,00:05.795,00:05.895,00:05.868,00:05.824,00:05.783,00:05.841,00:05.868,00:05.855,00:05.883,00:05.841,00:05.772,00:05.876,00:05.817,00:05.770,00:05.838,00:05.904,00:05.818,00:05.774,00:05.769,00:05.812,00:05.769,00:05.770
Str 3-4,00:03.615,00:14.865,00:04.017,00:03.910,00:03.693,00:03.741,00:03.516,00:03.706,00:03.756,00:03.715,00:03.558,00:03.563,00:03.576,00:03.651,00:03.484,00:03.675,00:03.581,00:03.726,00:03.571,00:03.658,00:03.529,00:03.526,00:03.475,00:03.621,00:03.475,00:03.581
Turn 4,00:03.715,00:02.980,00:03.175,00:03.150,00:03.032,00:03.016,00:03.232,00:02.995,00:03.070,00:03.129,00:03.094,00:03.032,00:02.984,00:03.039,00:03.109,00:03.007,00:02.917,00:02.993,00:02.984,00:03.034,00:03.318,00:03.047,00:03.289,00:03.260,00:02.917,00:02.917
Str 4-5,00:15.003,00:15.149,00:15.245,00:14.913,00:14.953,00:15.054,00:14.698,00:14.984,00:15.320,00:14.984,00:14.778,00:14.663,00:14.731,00:14.609,00:14.758,00:14.708,00:14.859,00:14.823,00:14.542,00:14.914,00:14.678,00:14.798,00:14.754,00:14.735,00:14.542,00:14.859
Turn 5,00:03.568,00:03.698,00:03.413,00:03.776,00:03.600,00:03.355,00:03.592,00:03.613,00:03.418,00:03.415,00:03.371,00:03.357,00:03.564,00:03.703,00:03.548,00:03.553,00:03.403,00:03.321,00:03.825,00:03.332,00:03.485,00:03.454,00:03.414,00:03.646,00:03.321,00:03.403
Turn 6,00:02.220,00:02.416,00:02.201,00:02.629,00:02.131,00:02.203,00:02.161,00:02.121,00:02.214,00:02.182,00:02.278,00:02.166,00:02.209,00:02.394,00:02.217,00:02.354,00:02.201,00:02.149,00:02.281,00:02.288,00:02.380,00:02.162,00:02.193,00:02.105,00:02.105,00:02.201
Str 6-7,00:04.629,00:04.844,00:04.617,00:04.807,00:04.580,00:04.770,00:04.610,00:04.683,00:04.640,00:04.450,00:04.572,00:04.587,00:04.511,00:04.592,00:04.508,00:04.549,00:04.562,00:04.517,00:04.656,00:04.496,00:04.493,00:04.472,00:04.572,00:04.493,00:04.450,00:04.562
Turn 7,00:02.569,00:02.489,00:02.372,00:02.724,00:02.437,00:02.477,00:02.505,00:02.400,00:02.432,00:02.467,00:02.474,00:02.602,00:02.356,00:02.448,00:02.409,00:02.493,00:02.335,00:02.459,00:02.429,00:02.514,00:02.590,00:02.488,00:02.395,00:02.547,00:02.335,00:02.335
Str 7-8,00:02.881,00:02.856,00:02.582,00:02.722,00:02.626,00:02.732,00:02.662,00:02.659,00:02.610,00:02.654,00:02.653,00:02.775,00:02.719,00:02.656,00:02.651,00:02.632,00:02.669,00:02.648,00:02.642,00:02.610,00:02.633,00:02.653,00:02.679,00:02.559,00:02.559,00:02.669
Turn 8,00:00.893,00:00.813,00:00.828,00:00.879,00:00.818,00:00.820,00:00.817,00:00.864,00:00.879,00:00.820,00:00.806,00:00.814,00:00.820,00:00.811,00:00.818,00:00.822,00:00.799,00:00.800,00:00.818,00:00.837,00:00.811,00:00.834,00:00.817,00:00.815,00:00.799,00:00.799
Str 8-9,00:01.086,00:01.013,00:01.108,00:01.173,00:01.071,00:01.027,00:01.079,00:01.197,00:01.161,00:01.094,00:01.014,00:01.079,00:01.061,00:01.072,00:01.034,00:01.119,00:01.055,00:01.067,00:01.110,00:01.129,00:01.125,00:01.158,00:01.082,00:01.117,00:01.013,00:01.055
Turn 9,00:04.495,00:04.535,00:04.385,00:04.524,00:04.667,00:04.360,00:04.391,00:04.430,00:05.050,00:04.359,00:04.394,00:04.333,00:04.434,00:04.377,00:04.401,00:04.285,00:04.390,00:04.293,00:04.323,00:04.419,00:04.511,00:04.528,00:04.367,00:04.545,00:04.285,00:04.390
Str 9-10,00:04.066,00:04.042,00:03.995,00:03.973,00:03.790,00:04.162,00:03.924,00:03.916,00:04.007,00:03.981,00:03.970,00:03.964,00:04.001,00:03.986,00:03.884,00:04.116,00:03.873,00:04.006,00:04.014,00:03.992,00:04.127,00:03.874,00:03.980,00:03.962,00:03.790,00:03.873
Turn 10,00:04.515,00:04.234,00:04.530,00:04.351,00:04.397,00:04.575,00:04.259,00:04.303,00:04.314,00:04.289,00:04.229,00:04.388,00:04.325,00:04.298,00:04.350,00:04.246,00:04.266,00:04.278,00:04.235,00:04.278,00:04.331,00:04.353,00:04.363,00:04.360,00:04.229,00:04.266
Str 0-1 (Start),00:15.480,00:15.263,00:14.856,00:14.869,00:14.918,00:14.931,00:14.762,00:14.994,00:14.809,00:15.087,00:15.018,00:14.946,00:15.007,00:14.861,00:15.108,00:14.948,00:14.832,00:14.802,00:21.365,00:14.823,00:14.733,00:14.670,00:14.798,00:14.916,00:14.670,00:14.832
Totals,01:47.483,02:01.074,01:43.339,01:46.779,01:42.463,01:43.209,01:42.096,01:42.687,01:43.836,01:42.239,01:41.931,01:41.954,01:42.027,01:42.497,01:41.839,01:42.208,01:41.237,01:41.325,01:48.546,02:16.920,01:42.382,01:41.494,01:41.526,01:42.475,01:39.559,01:41.186
